item_id,description,description_2,group_description,unit_sale_price (CLP),cost (CLP),storage_cost (CLP),stock,size_m3,cost_per_purchase
1701,meloxivet 60 ml,analgesico,medicamentos,14900.0,10347.0,28.0,2.0,0.0002,500.0
1489,le salon cortauñas alicate ergonomico,grooming,accesorios,15990.0,11666.0,34.0,0.0,0.001,500.0
921,comedero interactivo garra marrón y azúl,juguetes,accesorios,20030.0,13145.0,49.0,0.0,0.004,500.0
275,revolution perro 5-10 kg,ant. ext.,medicamentos,18700.0,12413.0,35.0,2.0,0.0002,500.0
416,royal canin baby cat milk 300gr,suplementos,alimento,18450.0,13913.0,55.0,1.0,0.015,2850.0
1655,honey h-harness medium,paseo,accesorios,16900.4,11106.0,36.0,1.0,0.001,550.0
247,capa polar c/chiporro t-s (1)  a. doctor,ropa,accesorios,6550.0,4447.0,14.0,1.0,0.001,500.0
383,zeus nosh hueso duro sabor tocino l,juguetes,accesorios,12990.0,8638.0,31.0,2.0,0.004,950.0
322,afp dog sparkle cepillo dedo/pasta,juguetes,accesorios,14490.0,10920.0,30.0,5.0,0.001,500.0
203,zeus collar ajustable xl azul denim,paseo,accesorios,6670.0,4406.0,17.0,1.0,0.004,500.0
873,zeedog prisma h-harness small,paseo,accesorios,13850.0,9156.0,34.0,0.0,0.004,1050.0
1111,brit mono protein turkey & sweet potato 400 g,latas,alimento,3600.0,2494.0,11.0,0.0,0.015,2050.0
1303,revolution gato 2.5-7.5 kg,ant. ext.,medicamentos,14990.0,11826.0,28.0,6.0,0.0002,500.0
352,coastal new earth collar de soya menta xs,paseo,accesorios,9190.0,7209.0,19.0,0.0,0.001,500.0
575,capa arnè talla 2 cata pets,ropa,accesorios,14480.0,9604.0,35.0,0.0,0.004,600.0
1868,kit acuario,hogar-transporte,accesorios,119990.0,82370.0,570.0,,,500.0
479,coastal style collar teal purple diamonds s,paseo,accesorios,7990.0,5318.0,17.0,2.0,0.001,500.0
942,bravery chicken mini puppy small breeds 2 kg,cachorros,alimento,16990.0,11652.0,52.0,9.0,0.015,1600.0
1255,fancy feast terrine pollo 85 g,latas,alimento,900.0,691.0,3.0,6.0,0.015,3400.0
1189,parka t/3 cata pets,ropa,accesorios,18890.0,15078.0,46.0,0.0,0.004,500.0
1301,zeus arnes fig.a  m  azuldenim,paseo,accesorios,10990.0,7710.0,23.0,0.0,0.001,500.0
529,zd midnight adjustable air mesh harness medium,paseo,accesorios,23900.0,16634.0,50.0,0.0,0.001,500.0
620,feline  i/d  lata x 156gr,latas medicadas,alimento,7720.0,5800.0,24.0,51.0,0.015,1300.0
1766,bliss collar small,paseo,accesorios,9900.0,6451.0,25.0,2.0,0.004,500.0
366,cordon amarre 8 mm a. doctor,paseo,accesorios,5190.0,3523.0,11.0,1.0,0.001,500.0
1509,poo bolsas compostables 60 u,higiene,accesorios,6990.0,4822.0,14.0,11.0,0.001,500.0
1105,coastal sublime trailla chevrons/navy,paseo,accesorios,19590.0,13487.0,41.0,1.0,0.001,600.0
764,zd army green cat collar,paseo,accesorios,4900.0,3506.0,10.0,0.0,0.001,500.0
394,pawise pasto sanitario 43 x 67 cm,higiene,accesorios,45990.0,34877.0,96.0,0.0,0.001,1200.0
1791,belcando búfalo de agua 400 gr,humedo,alimento,5590.0,3722.0,12.0,,,500.0
1054,zeedog prisma h-harness extra small,paseo,accesorios,11860.0,8667.0,25.0,1.0,0.001,500.0
946,collar gatos,paseo,accesorios,2990.0,2174.0,6.0,0.0,0.001,500.0
1498,bravery salmon mini adult small breeds 2 kg,adultos,alimento,18990.0,12833.0,57.0,2.0,0.015,1600.0
1860,small bird diet 1 kg,adultos,alimento,16990.0,12214.0,36.0,,,500.0
1107,dispensador agua maya m 700 ,comederos,accesorios,8490.0,6408.0,18.0,3.0,0.001,500.0
1608,coastal maslow  plato paw rosado 1596 ml,paseo,accesorios,15990.0,11143.0,34.0,0.0,0.001,500.0
111,zeedog atlanta adjustable air mesh harness small,paseo,accesorios,19300.0,12954.0,47.0,0.0,0.004,500.0
582,jaula transporte pratiko metal 2,hogar-transporte,accesorios,29310.0,20741.0,61.0,3.0,0.001,800.0
1033,zeedog prisma leash large,paseo,accesorios,16840.0,11371.0,35.0,0.0,0.001,500.0
1340,dogit alfombrilla educadora  x-large 20u,higiene,accesorios,16990.0,13409.0,36.0,0.0,0.001,500.0
