id,item_id,date,quantity,cost (CLP),delivery_date
25001,1810,1/13/2020,3,20115,1/25/2020
25002,1804,1/13/2020,2,19264,1/25/2020
25003,1856,1/13/2020,8,59112,1/24/2020
25004,1803,1/13/2020,5,27660,1/28/2020
25005,1815,1/13/2020,2,34726,1/23/2020
25006,1826,1/13/2020,1,3339,1/25/2020
25007,1837,1/13/2020,28,1119384,1/23/2020
25008,1823,1/20/2020,2,32462,1/27/2020
25009,1824,1/20/2020,7,41776,1/28/2020
25010,1816,1/20/2020,2,36592,1/29/2020
25011,1858,1/20/2020,8,413688,2/1/2020
25012,1833,1/20/2020,8,742936,1/28/2020
25013,1841,1/20/2020,4,89152,1/30/2020
25014,1806,1/20/2020,1,12097,1/24/2020
25015,1810,1/27/2020,2,13410,1/31/2020
25016,1802,1/27/2020,12,42372,2/3/2020
25017,1823,1/27/2020,6,97386,2/9/2020
25018,1807,1/27/2020,16,149264,2/5/2020
25019,1815,1/27/2020,15,260445,1/30/2020
25020,1844,1/27/2020,1,15909,2/3/2020
25021,1814,1/27/2020,16,664080,2/10/2020
25022,1826,1/27/2020,6,20034,2/10/2020
25023,1842,1/27/2020,2,24764,2/5/2020
25024,1843,1/27/2020,2,25062,2/4/2020
25025,1852,1/27/2020,2,107376,2/6/2020
25026,1822,1/27/2020,2,9222,1/30/2020
25027,1840,1/27/2020,1,20138,1/31/2020
25028,1806,1/27/2020,1,12097,2/2/2020
25029,1809,2/3/2020,3,62193,2/14/2020
25030,1796,2/3/2020,9,71352,2/15/2020
25031,1820,2/3/2020,15,190950,2/14/2020
25032,1792,2/3/2020,2,13438,2/9/2020
25033,1795,2/3/2020,4,14848,2/8/2020
25034,1803,2/3/2020,5,27660,2/12/2020
25035,1848,2/3/2020,3,15777,2/7/2020
25036,1799,2/3/2020,4,123924,2/14/2020
25037,1816,2/3/2020,5,91480,2/8/2020
25038,1855,2/3/2020,1,3273,2/12/2020
25039,1845,2/3/2020,6,97110,2/9/2020
25040,1805,2/3/2020,7,21651,2/8/2020
25041,1790,2/3/2020,31,1272147,2/8/2020
25042,1793,2/3/2020,17,26384,2/13/2020
25043,1786,2/3/2020,14,186284,2/9/2020
25044,1841,2/3/2020,5,111440,2/7/2020
25045,1787,2/3/2020,5,83940,2/12/2020
25046,1797,2/3/2020,9,35946,2/8/2020
25047,1866,2/3/2020,6,79086,2/12/2020
25048,1840,2/3/2020,8,161104,2/9/2020
25049,1821,2/3/2020,4,9524,2/11/2020
25050,1806,2/3/2020,1,12097,2/15/2020
25051,1798,2/10/2020,10,184000,2/15/2020
25052,1804,2/10/2020,4,38528,2/17/2020
25053,1802,2/10/2020,4,14124,2/18/2020
25054,1792,2/10/2020,13,87347,2/21/2020
25055,1856,2/10/2020,3,22167,2/19/2020
25056,1795,2/10/2020,6,22272,2/20/2020
25057,1831,2/10/2020,2,34098,2/20/2020
25058,1794,2/10/2020,10,36310,2/17/2020
25059,1811,2/10/2020,4,22408,2/13/2020
25060,1848,2/10/2020,8,42072,2/20/2020
25061,1850,2/10/2020,7,238490,2/15/2020
25062,1859,2/10/2020,8,1090320,2/18/2020
25063,1844,2/10/2020,9,143181,2/16/2020
25064,1816,2/10/2020,4,73184,2/13/2020
25065,1830,2/10/2020,4,20012,2/17/2020
25066,1832,2/10/2020,12,422520,2/13/2020
25067,1845,2/10/2020,12,194220,2/21/2020
25068,1826,2/10/2020,4,13356,2/16/2020
25069,1851,2/10/2020,4,190472,2/17/2020
25070,1842,2/10/2020,7,86674,2/21/2020
25071,1843,2/10/2020,11,137841,2/20/2020
25072,1785,2/10/2020,9,151695,2/18/2020
25073,1819,2/10/2020,7,59654,2/15/2020
25074,1849,2/10/2020,2,82410,2/15/2020
25075,1786,2/10/2020,7,93142,2/18/2020
25076,1817,2/10/2020,19,358245,2/16/2020
25077,1854,2/10/2020,4,11940,2/18/2020
25078,1841,2/10/2020,2,44576,2/26/2020
25079,1827,2/10/2020,8,107584,2/24/2020
25080,1813,2/10/2020,4,11004,2/17/2020
25081,1852,2/10/2020,13,697944,2/14/2020
25082,1822,2/10/2020,1,4611,2/18/2020
25083,1797,2/10/2020,16,63904,2/19/2020
25084,1798,2/17/2020,9,165600,3/2/2020
25085,1804,2/17/2020,9,86688,2/24/2020
25086,1809,2/17/2020,10,207310,2/27/2020
25087,1796,2/17/2020,10,79280,3/2/2020
25088,1820,2/17/2020,9,114570,2/25/2020
25089,1824,2/17/2020,4,23872,2/27/2020
25090,1803,2/17/2020,1,5532,3/4/2020
25091,1794,2/17/2020,10,36310,2/24/2020
25092,1811,2/17/2020,5,28010,2/24/2020
25093,1799,2/17/2020,18,557658,2/22/2020
25094,1850,2/17/2020,11,374770,2/27/2020
25095,1844,2/17/2020,2,31818,2/27/2020
25096,1816,2/17/2020,6,109776,2/28/2020
25097,1829,2/17/2020,4,25144,2/23/2020
25098,1858,2/17/2020,2,103422,2/24/2020
25099,1847,2/17/2020,4,25288,3/1/2020
25100,1855,2/17/2020,4,13092,2/27/2020
25101,1830,2/17/2020,22,110066,2/21/2020
25102,1832,2/17/2020,4,140840,2/20/2020
25103,1805,2/17/2020,2,6186,2/25/2020
25104,1826,2/17/2020,2,6678,2/25/2020
25105,1833,2/17/2020,3,278601,2/22/2020
25106,1851,2/17/2020,9,428562,2/26/2020
25107,1828,2/17/2020,17,338742,2/28/2020
25108,1790,2/17/2020,9,369333,2/26/2020
25109,1789,2/17/2020,20,466560,2/29/2020
25110,1793,2/17/2020,20,31040,3/1/2020
25111,1853,2/17/2020,8,337008,3/1/2020
25112,1819,2/17/2020,7,59654,2/27/2020
25113,1849,2/17/2020,17,700485,2/25/2020
25114,1834,2/17/2020,26,2748798,2/24/2020
25115,1825,2/17/2020,7,36554,2/22/2020
25116,1817,2/17/2020,11,207405,2/22/2020
25117,1818,2/17/2020,36,983124,2/27/2020
25118,1813,2/17/2020,16,44016,2/24/2020
25119,1852,2/17/2020,1,53688,2/24/2020
25120,1800,2/17/2020,7,168875,2/25/2020
25121,1787,2/17/2020,7,117516,3/1/2020
25122,1840,2/17/2020,10,201380,2/25/2020
25123,1821,2/17/2020,2,4762,2/29/2020
25124,1806,2/17/2020,4,48388,2/22/2020
25125,1791,2/24/2020,17,63274,3/6/2020
25126,1812,2/24/2020,2,30370,3/5/2020
25127,1810,2/24/2020,1,6705,3/6/2020
25128,1802,2/24/2020,29,102399,3/1/2020
25129,1788,2/24/2020,14,470386,3/1/2020
25130,1792,2/24/2020,10,67190,3/2/2020
25131,1856,2/24/2020,11,81279,3/1/2020
25132,1846,2/24/2020,3,41112,3/1/2020
25133,1795,2/24/2020,11,40832,2/27/2020
25134,1831,2/24/2020,17,289833,3/6/2020
25135,1799,2/24/2020,12,371772,3/5/2020
25136,1815,2/24/2020,8,138904,3/5/2020
25137,1829,2/24/2020,11,69146,3/3/2020
25138,1830,2/24/2020,8,40024,3/1/2020
25139,1832,2/24/2020,8,281680,3/2/2020
25140,1845,2/24/2020,2,32370,3/2/2020
25141,1801,2/24/2020,9,18540,3/1/2020
25142,1842,2/24/2020,4,49528,3/5/2020
25143,1843,2/24/2020,9,112779,3/5/2020
25144,1785,2/24/2020,28,471940,3/1/2020
25145,1786,2/24/2020,29,385874,3/11/2020
25146,1825,2/24/2020,9,46998,3/5/2020
25147,1817,2/24/2020,6,113130,3/9/2020
25148,1854,2/24/2020,14,41790,3/5/2020
25149,1827,2/24/2020,17,228616,2/27/2020
25150,1813,2/24/2020,11,30261,3/5/2020
25151,1852,2/24/2020,2,107376,3/3/2020
25152,1822,2/24/2020,12,55332,3/7/2020
25153,1806,2/24/2020,5,60485,2/29/2020
25154,1860,3/2/2020,8,97712,3/15/2020
25155,1798,3/2/2020,27,496800,3/8/2020
25156,1804,3/2/2020,7,67424,3/7/2020
25157,1809,3/2/2020,11,228041,3/8/2020
25158,1788,3/2/2020,8,268792,3/12/2020
25159,1796,3/2/2020,35,277480,3/8/2020
25160,1792,3/2/2020,12,80628,3/10/2020
25161,1856,3/2/2020,4,29556,3/5/2020
25162,1863,3/2/2020,9,31662,3/16/2020
25163,1846,3/2/2020,10,137040,3/17/2020
25164,1824,3/2/2020,33,196944,3/10/2020
25165,1795,3/2/2020,30,111360,3/11/2020
25166,1794,3/2/2020,23,83513,3/14/2020
25167,1848,3/2/2020,7,36813,3/6/2020
25168,1850,3/2/2020,55,1873850,3/7/2020
25169,1844,3/2/2020,10,159090,3/8/2020
25170,1816,3/2/2020,1,18296,3/15/2020
25171,1847,3/2/2020,16,101152,3/11/2020
